Date,Time,Error
12-JUN-22,11:37 :18,"DCS SSO Fence Open 1,1"
12-JUN-22,11:36 :48,"DCS SSO Fence Open 1,1"
12-JUN-22,11:36 :10,"DCS SSO Fence Open 1,1"
12-JUN-22,11:36 :04,"DCS SSO Fence Open 1,1"
12-JUN-22,11:35 :40,"DCS SSO Fence Open 1,1"
12-JUN-22,11:22 :28,"DCS SSO Ext Emergency Stop 1,1"
12-JUN-22,11:16 :54,"DCS SSO Fence Open 1,1"
12-JUN-22,11:15 :34,"DCS SSO Fence Open 1,1"
12-JUN-22,10:36 :56,"DCS SSO Fence Open 1,1"
12-JUN-22,10:35 :08,"DCS SSO Fence Open 1,1"
12-JUN-22,09:32 :26,Operation mode AUTO Selected
12-JUN-22,09:21 :36,"DCS SSO Servo Disconnect 1,1"
12-JUN-22,09:21 :36,"DCS SSO Ext Emergency Stop 1,1"
12-JUN-22,09:21 :36,"TP OFF in T1,T2"
12-JUN-22,09:21 :36,"DCS SSO Fence Open 1,1"
12-JUN-22,09:21 :36,"DCS SSO SVOFF input 1,1"
12-JUN-22,09:21 :36,"CIP Safety comm. error 1,1"
12-JUN-22,09:21 :36,IMSTP input (Group:1)
12-JUN-22,09:21 :36,TP disabled in T1/T2 mode
12-JUN-22,09:21 :36,TP disabled in T1/T2 mode
12-JUN-22,09:21 :36,Operation mode T1 Selected
11-JUN-22,16:28 :48,"DCS SSO Fence Open 1,1"
11-JUN-22,16:28 :48,Controlled Stop
11-JUN-22,16:24 :32,"DCS SSO Fence Open 1,1"
11-JUN-22,16:24 :30,Controlled Stop
11-JUN-22,16:23 :22,"DCS SSO Fence Open 1,1"
11-JUN-22,15:39 :56,"DCS SSO Fence Open 1,1"
11-JUN-22,15:39 :56,Controlled Stop
11-JUN-22,13:47 :54,"DCS SSO Ext Emergency Stop 1,1"
11-JUN-22,13:47 :54,"DCS SSO Fence Open 1,1"
11-JUN-22,13:47 :42,"DCS SSO Ext Emergency Stop 1,1"
11-JUN-22,13:47 :42,"DCS SSO Fence Open 1,1"
11-JUN-22,07:53 :18,"DCS SSO Ext Emergency Stop 1,1"
10-JUN-22,16:09 :22,"DCS SSO Fence Open 1,1"
10-JUN-22,16:05 :26,"DCS SSO Fence Open 1,1"
10-JUN-22,16:05 :26,Controlled Stop
10-JUN-22,15:49 :50,"DCS SSO Fence Open 1,1"
10-JUN-22,15:49 :50,Controlled Stop
10-JUN-22,15:38 :54,Tool frame 2(G:1)
10-JUN-22,15:37 :46,User frame 1(G:1)
10-JUN-22,15:37 :28,User frame 0(G:1)
10-JUN-22,15:37 :28,Tool frame 1(G:1)
10-JUN-22,14:27 :34,Tool frame 2(G:1)
10-JUN-22,14:26 :28,User frame 1(G:1)
10-JUN-22,14:26 :08,User frame 0(G:1)
10-JUN-22,14:26 :08,Tool frame 1(G:1)
10-JUN-22,14:21 :44,Tool frame 2(G:1)
10-JUN-22,14:20 :36,User frame 1(G:1)
10-JUN-22,14:20 :18,User frame 0(G:1)
10-JUN-22,14:20 :18,Tool frame 1(G:1)
10-JUN-22,14:18 :20,Tool frame 2(G:1)
10-JUN-22,14:18 :18,Menu changed 'USER'
10-JUN-22,14:15 :32,F2(MONITOR) is pressed
10-JUN-22,14:15 :32,Menu changed 'STYLE012'
10-JUN-22,14:15 :32,EDIT is pressed
10-JUN-22,14:15 :30,Menu changed 'Select'
10-JUN-22,14:15 :30,SELECT is pressed
10-JUN-22,14:15 :28,ENTER is pressed
10-JUN-22,14:15 :28,F2(LOOK) is pressed
10-JUN-22,14:13 :58,Menu changed 'STYLE012'
10-JUN-22,14:13 :58,EDIT is pressed
10-JUN-22,14:12 :18,"DCS SSO Fence Open 1,1"
10-JUN-22,14:12 :18,Controlled Stop
10-JUN-22,14:12 :14,Menu changed 'ALARM Recovery'
10-JUN-22,14:12 :14,2 is entered
10-JUN-22,14:02 :20,User frame 1(G:1)
10-JUN-22,14:02 :02,User frame 0(G:1)
10-JUN-22,14:02 :02,Tool frame 1(G:1)
10-JUN-22,13:48 :54,Tool frame 2(G:1)
10-JUN-22,13:47 :46,User frame 1(G:1)
10-JUN-22,13:47 :26,User frame 0(G:1)
10-JUN-22,13:47 :26,Tool frame 1(G:1)
10-JUN-22,13:41 :32,Tool frame 2(G:1)
10-JUN-22,13:41 :32,Menu changed 'USER'
10-JUN-22,13:41 :10,"DCS SSO Fence Open 1,1"
10-JUN-22,13:40 :38,"DCS SSO Fence Open 1,1"
10-JUN-22,13:40 :38,Controlled Stop
10-JUN-22,13:38 :04,"DCS SSO Fence Open 1,1"
10-JUN-22,13:38 :00,"DCS SSO Fence Open 1,1"
10-JUN-22,13:36 :08,"DCS SSO Fence Open 1,1"
10-JUN-22,13:36 :08,Controlled Stop
10-JUN-22,13:35 :52,Menu changed 'ALARM Recovery'
10-JUN-22,13:34 :46,User frame 1(G:1)
10-JUN-22,13:34 :28,User frame 0(G:1)
10-JUN-22,13:34 :28,Tool frame 1(G:1)
10-JUN-22,13:32 :30,Tool frame 2(G:1)
10-JUN-22,13:32 :12,2 is entered
10-JUN-22,13:27 :28,User frame 1(G:1)
10-JUN-22,13:27 :10,User frame 0(G:1)
10-JUN-22,13:27 :10,Tool frame 1(G:1)
10-JUN-22,13:22 :48,Tool frame 2(G:1)
10-JUN-22,13:21 :40,User frame 1(G:1)
10-JUN-22,13:21 :22,User frame 0(G:1)
10-JUN-22,13:21 :22,Tool frame 1(G:1)
10-JUN-22,12:39 :38,Tool frame 2(G:1)
10-JUN-22,12:39 :36,Menu changed 'USER'
10-JUN-22,12:39 :06,Menu changed 'STYLE012'
10-JUN-22,12:39 :06,EDIT is pressed
10-JUN-22,12:38 :56,2 is entered
10-JUN-22,12:38 :54,Menu changed 'USER'
10-JUN-22,12:38 :54,'USER' is selected in MENU
10-JUN-22,12:38 :46,Menu changed 'LISTMENU'
10-JUN-22,12:38 :46,EDIT is pressed
10-JUN-22,12:35 :08,"DCS SSO Fence Open 1,1"
10-JUN-22,12:32 :46,Menu changed 'ALARM Recovery'
10-JUN-22,12:32 :46,"DCS SSO Fence Open 1,1"
10-JUN-22,12:32 :46,Controlled Stop
10-JUN-22,12:31 :28,User frame 1(G:1)
10-JUN-22,12:31 :10,User frame 0(G:1)
10-JUN-22,12:31 :10,Tool frame 1(G:1)
10-JUN-22,12:20 :12,"DCS SSO Fence Open 1,1"
10-JUN-22,12:20 :12,Controlled Stop
10-JUN-22,12:17 :08,"DCS SSO Fence Open 1,1"
10-JUN-22,12:17 :08,Controlled Stop
10-JUN-22,12:05 :38,Tool frame 2(G:1)
10-JUN-22,12:04 :32,User frame 1(G:1)
10-JUN-22,12:04 :14,Menu changed 'USER'
10-JUN-22,12:04 :14,User frame 0(G:1)
10-JUN-22,12:04 :14,Tool frame 1(G:1)
10-JUN-22,12:00 :48,"DCS SSO Fence Open 1,1"
10-JUN-22,12:00 :48,Controlled Stop
10-JUN-22,11:57 :36,Menu changed 'STYLE012'
10-JUN-22,11:57 :34,EDIT is pressed
10-JUN-22,11:54 :44,Tool frame 2(G:1)
10-JUN-22,11:54 :44,Menu changed 'USER'
10-JUN-22,11:54 :16,Menu changed 'STYLE012'
10-JUN-22,11:54 :16,EDIT is pressed
10-JUN-22,11:53 :14,2 is entered
