Date,Time,Facility,Error
22-JUN-22,10:28:10,SRVO-171,MotorSpd lim/DVC(G:1 A:3)
22-JUN-22,10:28:08,SEAL-349,Proc logger process_id not found (E2)
22-JUN-22,10:28:06,SEAL-270,Flow command above maximum (E2)
22-JUN-22,10:27:58,MOTN-200,"(S012SD01, 420) Too long anticipate time"
22-JUN-22,10:27:50,MOTN-200,"(S012SD01, 378) Too long anticipate time"
22-JUN-22,10:27:48,MOTN-200,"(S012SD01, 359) Too long anticipate time"
22-JUN-22,10:27:46,MOTN-200,"(S012SD01, 345) Too long anticipate time"
22-JUN-22,10:27:44,MOTN-200,"(S012SD01, 336) Too long anticipate time"
22-JUN-22,10:27:44,MOTN-200,"(S012SD01, 329) Too long anticipate time"
22-JUN-22,10:27:40,MOTN-200,"(S012SD01, 283) Too long anticipate time"
22-JUN-22,10:27:32,MOTN-200,"(S012SD01, 252) Too long anticipate time"
22-JUN-22,10:27:32,MOTN-200,"(S012SD01, 244) Too long anticipate time"
22-JUN-22,10:27:26,MOTN-200,"(S012SD01, 208) Too long anticipate time"
22-JUN-22,10:27:20,MOTN-200,"(S012SD01, 185) Too long anticipate time"
22-JUN-22,10:27:16,MOTN-200,"(S012SD01, 156) Too long anticipate time"
22-JUN-22,10:27:12,MOTN-200,"(S012SD01, 117) Too long anticipate time"
22-JUN-22,10:27:06,MOTN-200,"(S012SD01, 76) Too long anticipate time"
22-JUN-22,10:27:04,MOTN-200,"(S012SD01, 75) Too long anticipate time"
22-JUN-22,10:27:04,MOTN-056,Speed limits used (G:1)
22-JUN-22,10:27:02,MOTN-056,Speed limits used (G:1)
22-JUN-22,10:26:36,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:36,SYST-014,Program select failed
22-JUN-22,10:26:36,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:36,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:36,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:36,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:34,SYST-179,SHIFT-RESET Released
22-JUN-22,10:26:34,SYST-040,Operation mode AUTO Selected
22-JUN-22,10:26:34,SYST-043,TP disabled in T1/T2 mode
22-JUN-22,10:26:26,SYST-178,SHIFT-RESET Pressed
22-JUN-22,10:26:26,SYST-178,SHIFT-RESET Pressed
22-JUN-22,10:26:26,SYST-178,SHIFT-RESET Pressed
22-JUN-22,10:26:24,SRVO-003,Deadman switch released
22-JUN-22,10:26:24,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:24,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:24,SYST-179,SHIFT-RESET Released
22-JUN-22,10:26:24,INTP-105,"(MOV_HOME, 1) Run request failed"
22-JUN-22,10:26:24,SYST-178,SHIFT-RESET Pressed
